Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ATOS,ATOS,ATOS,ATOS,ATOS,ATOS
Date,,,,,,
2024-05-28,1.4199999570846558,1.4199999570846558,1.5499999523162842,1.399999976158142,1.5299999713897705,1220100
2024-05-29,1.3200000524520874,1.3200000524520874,1.4199999570846558,1.2899999618530273,1.3899999856948853,1459200
2024-05-30,1.2999999523162842,1.2999999523162842,1.340000033378601,1.2899999618530273,1.340000033378601,727900
2024-05-31,1.2999999523162842,1.2999999523162842,1.350000023841858,1.2899999618530273,1.2999999523162842,956000
2024-06-03,1.3200000524520874,1.3200000524520874,1.3700000047683716,1.2699999809265137,1.2999999523162842,749900
2024-06-04,1.3300000429153442,1.3300000429153442,1.350000023841858,1.2899999618530273,1.3300000429153442,608900
2024-06-05,1.309999942779541,1.309999942779541,1.340000033378601,1.2999999523162842,1.340000033378601,721000
2024-06-06,1.2699999809265137,1.2699999809265137,1.340000033378601,1.2599999904632568,1.340000033378601,803900
2024-06-07,1.25,1.25,1.3200000524520874,1.2200000286102295,1.2300000190734863,930500
2024-06-10,1.2000000476837158,1.2000000476837158,1.2699999809265137,1.2000000476837158,1.2400000095367432,890400
2024-06-11,1.2400000095367432,1.2400000095367432,1.2400000095367432,1.190000057220459,1.190000057220459,507200
2024-06-12,1.2799999713897705,1.2799999713897705,1.340000033378601,1.2599999904632568,1.2599999904632568,826100
2024-06-13,1.2300000190734863,1.2300000190734863,1.2699999809265137,1.2300000190734863,1.2699999809265137,530800
2024-06-14,1.2000000476837158,1.2000000476837158,1.2400000095367432,1.2000000476837158,1.2300000190734863,533300
2024-06-17,1.149999976158142,1.149999976158142,1.1799999475479126,1.1100000143051147,1.159999966621399,1110500
2024-06-18,1.1200000047683716,1.1200000047683716,1.190000057220459,1.1200000047683716,1.149999976158142,665400
2024-06-20,1.1100000143051147,1.1100000143051147,1.1399999856948853,1.1100000143051147,1.1299999952316284,614200
2024-06-21,1.1299999952316284,1.1299999952316284,1.1299999952316284,1.1100000143051147,1.1100000143051147,631400
2024-06-24,1.0700000524520874,1.0700000524520874,1.1799999475479126,1.059999942779541,1.149999976158142,863400
2024-06-25,1.0299999713897705,1.0299999713897705,1.090000033378601,1.0199999809265137,1.0700000524520874,1080700
2024-06-26,1.0499999523162842,1.0499999523162842,1.25,1.0299999713897705,1.0399999618530273,2755700
2024-06-27,1.1399999856948853,1.1399999856948853,1.2000000476837158,1.0700000524520874,1.0700000524520874,1551300
2024-06-28,1.190000057220459,1.190000057220459,1.2999999523162842,1.1399999856948853,1.1799999475479126,16831000
2024-07-01,1.2000000476837158,1.2000000476837158,1.2999999523162842,1.1699999570846558,1.2100000381469727,1307000
2024-07-02,1.159999966621399,1.159999966621399,1.2100000381469727,1.149999976158142,1.190000057220459,1004900
2024-07-03,1.1699999570846558,1.1699999570846558,1.1699999570846558,1.1299999952316284,1.1399999856948853,504000
2024-07-05,1.090000033378601,1.090000033378601,1.1699999570846558,1.090000033378601,1.1699999570846558,781200
2024-07-08,1.149999976158142,1.149999976158142,1.1799999475479126,1.090000033378601,1.090000033378601,907500
2024-07-09,1.149999976158142,1.149999976158142,1.2000000476837158,1.149999976158142,1.149999976158142,762300
2024-07-10,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.159999966621399,1.1699999570846558,590300
2024-07-11,1.2799999713897705,1.2799999713897705,1.2799999713897705,1.2000000476837158,1.2000000476837158,931300
2024-07-12,1.309999942779541,1.309999942779541,1.350000023841858,1.2400000095367432,1.2699999809265137,1272200
2024-07-15,1.399999976158142,1.399999976158142,1.4199999570846558,1.2699999809265137,1.2999999523162842,1739200
2024-07-16,1.399999976158142,1.399999976158142,1.4299999475479126,1.3300000429153442,1.409999966621399,1345300
2024-07-17,1.3899999856948853,1.3899999856948853,1.4299999475479126,1.340000033378601,1.399999976158142,812200
2024-07-18,1.3600000143051147,1.3600000143051147,1.4299999475479126,1.3300000429153442,1.4199999570846558,923300
2024-07-19,1.340000033378601,1.340000033378601,1.3799999952316284,1.309999942779541,1.3600000143051147,684000
2024-07-22,1.4800000190734863,1.4800000190734863,1.4800000190734863,1.3200000524520874,1.3600000143051147,1216900
2024-07-23,1.4800000190734863,1.4800000190734863,1.5,1.440000057220459,1.4800000190734863,824900
2024-07-24,1.399999976158142,1.399999976158142,1.4800000190734863,1.399999976158142,1.4600000381469727,789600
2024-07-25,1.409999966621399,1.409999966621399,1.4600000381469727,1.3600000143051147,1.409999966621399,669100
2024-07-26,1.4700000286102295,1.4700000286102295,1.4700000286102295,1.3799999952316284,1.409999966621399,894200
2024-07-29,1.399999976158142,1.399999976158142,1.4900000095367432,1.3799999952316284,1.4800000190734863,605200
2024-07-30,1.3700000047683716,1.3700000047683716,1.409999966621399,1.309999942779541,1.3899999856948853,757200
2024-07-31,1.350000023841858,1.350000023841858,1.409999966621399,1.3300000429153442,1.3899999856948853,786100
2024-08-01,1.2899999618530273,1.2899999618530273,1.3600000143051147,1.2699999809265137,1.350000023841858,824200
2024-08-02,1.2200000286102295,1.2200000286102295,1.2899999618530273,1.2100000381469727,1.25,758800
2024-08-05,1.149999976158142,1.149999976158142,1.2000000476837158,1.100000023841858,1.100000023841858,1014900
2024-08-06,1.2100000381469727,1.2100000381469727,1.25,1.149999976158142,1.1699999570846558,618500
2024-08-07,1.159999966621399,1.159999966621399,1.2300000190734863,1.149999976158142,1.2300000190734863,547800
2024-08-08,1.2000000476837158,1.2000000476837158,1.2200000286102295,1.159999966621399,1.2000000476837158,449800
2024-08-09,1.1699999570846558,1.1699999570846558,1.2200000286102295,1.1699999570846558,1.2000000476837158,340000
2024-08-12,1.2400000095367432,1.2400000095367432,1.2699999809265137,1.1200000047683716,1.2200000286102295,437000
2024-08-13,1.2999999523162842,1.2999999523162842,1.3300000429153442,1.2799999713897705,1.2799999713897705,395700
2024-08-14,1.2400000095367432,1.2400000095367432,1.340000033378601,1.2400000095367432,1.3300000429153442,387100
2024-08-15,1.2799999713897705,1.2799999713897705,1.3200000524520874,1.25,1.2699999809265137,796700
2024-08-16,1.2799999713897705,1.2799999713897705,1.2899999618530273,1.25,1.2899999618530273,330200
2024-08-19,1.3200000524520874,1.3200000524520874,1.3200000524520874,1.2599999904632568,1.2599999904632568,480300
2024-08-20,1.340000033378601,1.340000033378601,1.350000023841858,1.2999999523162842,1.3300000429153442,457800
2024-08-21,1.3899999856948853,1.3899999856948853,1.3899999856948853,1.309999942779541,1.340000033378601,590300
2024-08-22,1.3700000047683716,1.3700000047683716,1.3899999856948853,1.350000023841858,1.3799999952316284,284300
2024-08-23,1.4199999570846558,1.4199999570846558,1.4199999570846558,1.3700000047683716,1.3799999952316284,581900
2024-08-26,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.409999966621399,1.440000057220459,658300
2024-08-27,1.350000023841858,1.350000023841858,1.4299999475479126,1.3300000429153442,1.4299999475479126,806500
2024-08-28,1.3799999952316284,1.3799999952316284,1.399999976158142,1.340000033378601,1.3600000143051147,436300
2024-08-29,1.3700000047683716,1.3700000047683716,1.4600000381469727,1.3600000143051147,1.4199999570846558,871900
2024-08-30,1.3700000047683716,1.3700000047683716,1.399999976158142,1.3300000429153442,1.3799999952316284,558700
2024-09-03,1.340000033378601,1.340000033378601,1.399999976158142,1.3300000429153442,1.350000023841858,461000
2024-09-04,1.3600000143051147,1.3600000143051147,1.3899999856948853,1.2899999618530273,1.309999942779541,402100
2024-09-05,1.3600000143051147,1.3600000143051147,1.3700000047683716,1.3300000429153442,1.3700000047683716,344700
2024-09-06,1.3300000429153442,1.3300000429153442,1.3700000047683716,1.2999999523162842,1.340000033378601,321900
2024-09-09,1.3600000143051147,1.3600000143051147,1.3799999952316284,1.3200000524520874,1.350000023841858,470300
2024-09-10,1.4600000381469727,1.4600000381469727,1.4900000095367432,1.340000033378601,1.3700000047683716,886600
